street_name,street_class_code,new_area_code,surface_type_code,Subarea,Subarea EA,line_length,route_no,year_built,os_sheets,road_start,road_finish,Irish
HOLLYBROOK PARK,6,3,3,15,15,184,missing,0,319813,HOWTH ROAD,missing,Páirc Cuileannsruth
HOLLYBROOK ROAD,5,3,3,15,15,415,missing,0,319814,CLONTARF ROAD,HOLLYBROOK PARK,Bóthar Cuileannsruth
HOLYCROSS AVENUE,6,1,3,15,8,88,missing,0,319816,CLONLIFFE ROAD,missing,Ascaill na Croise Naofa
HOLYCROSS COTTAGES,6,1,2,15,8,55,missing,0,319811,HOLYCROSS AVENUE,missing,Iostáin na Croise Naofa
HOLYROOD PARK,6,5,2,17,30,246,missing,0,326424,SANDYMOUNT AVENUE,missing,missing
HOLYWELL AVENUE,6,3,2,5,5,145,missing,0,313313,HOLYWELL ROAD,DONAGHMEDE ROAD,missing
HOLYWELL CRESCENT,6,3,2,5,5,280,missing,0,313313,HOLYWELL AVENUE,HOLYWELL ROAD,Corrán an Tobair Bheannaithe
HOLYWELL ROAD,6,3,2,5,5,200,missing,0,313313,HOLYWELL AVENUE,HOLYWELL CRESCENT,Bóthar an Tobair Bheannaithe
HOME VILLAS,6,5,3,13,26,385,missing,0,332902,PEMBROKE COTTAGES,AUBURN ROAD,Fíche an Bhaile
HOME FARM PARK,6,1,2,14,22,242,missing,0,,HOMEFARM ROAD,missing,missing
HOME FARM ROAD,3,1,1,14,22,888,missing,0,319710,MOBHI ROAD,DRUMCONDRA ROAD UPPER,missing
HOMELEE,6,5,2,17,30,77,missing,0,326418,SERPENTINE PARK,SERPENTINE AVENUE,Baile Scáth
HOPE AVENUE,6,1,1,16,16,97,missing,0,319817,LEINSTER STREET,EAST WALL ROAD,Ascaill Dóchais
HOPE STREET,6,5,2,16,29,88,missing,0,326413,GORDON STREET,SOUTH DOCK STREET,Sráid Dóchais
HOSPITAL LANE,7,4,2,1,1,48,missing,0,326306,SOUTH CIRCULAR ROAD,missing,Lána an Ospidéil
HOTEL YARD,7,1,2,12,12,45,missing,0,326305,LIFFEY STREET,missing,Macha an ósta
HOWARD STREET,6,5,2,16,29,70,missing,0,326413,SOUTH DOCK STREET,GORDON STREET,Sráid ó hIomhair
HOWTH JUNCTION COTTAGES,6,3,3,5,5,156,missing,0,313314,Kilbarrack Road,missing,Iostáin Bhinn éadair Gabhal
HOWTH ROAD,6,3,1,R02,R02,747,missing,0,319901,BROOKWOOD AVENUE,CLONTARF ROAD,Bóthar Bhinn éadair
HOWTH ROAD,2,3,1,R02,R02,1570,R105,0,319901,BROOKWOOD AVENUE,CLONTARF ROAD,Bóthar Bhinn éadair
HOWTH ROAD,2,3,1,R02,R02,4802,R105,0,319901,BROOKWOOD AVENUE,CLONTARF ROAD,Bóthar Bhinn éadair
HOWTH VIEW PARK,6,3,2,5,5,365,missing,0,313313,GRANGE ROAD,HOLLYWELL ROAD,Páirc Radharc Binn éadar
HUBAND BRIDGE,4,5,3,R13,R24,29,missing,0,326412,PERCY PLACE,HERBERT PLACE,missing
HUBAND ROAD,6,4,2,6,14,357,missing,0,326224,BLUEBELL ROAD,LA TOUCHE ROAD,Bóthar úbar
HUGHES ROAD EAST,6,4,2,10,18,130,missing,0,332705,HUGHES ROAD NORTH & SOUTH,missing,Bóthar Uí Aodha Thoir
HUGHES ROAD NORTH,6,4,2,10,18,162,missing,0,332705,BALFE ROAD,missing,Bóthar Uí Aodha Thuaidh
HUGHES ROAD SOUTH,6,4,2,10,18,140,missing,0,332705,BALFE ROAD,missing,Bóthara Uí Aodha Theas
HUME STREET,4,5,1,18,10,114,missing,0,326411,SAINT STEPHENS GREEN EAST,missing,Sráid Húim
HUXLEY CRESCENT,6,4,2,2,2,72,missing,0,326318,CORK STREET,missing,missing
HYACINTH STREET,6,1,3,16,16,65,missing,0,319822,OSSORY STREET,missing,Sráid an Bhugha
IMAAL ROAD,5,1,2,12,20,143,missing,0,319718,NEW CADRA ROAD,BREGIARD,Bóthar Uí Máil
INAGH ROAD,6,4,2,2,10,146,missing,0,326212,CLADDAGH ROAD,SPIDDAL ROAD,Bóthar Eighneach
INCHICORE PARADE,4,4,3,5,13,205,missing,0,326215,INCHICORE TERRACE SOUTH,C.I.E. ENTRANCE,Paráid Inse Chór
INCHICORE ROAD,2,4,1,R02,R11,762,R839,0,326311,SOUTH CIRCULAR ROAD,SARSFIELD ROAD,Bóthar Inse Chór
INCHICORE SQUARE EAST,6,4,1,5,13,69,missing,0,326215,INCHICORE SQUARE NORTH,missing,missing
INCHICORE SQUARE NORTH,6,4,1,5,13,88,missing,0,326215,INCHICORE SQUARE WEST,missing,missing
INCHICORE SQUARE SOUTH,6,4,1,5,13,98,missing,0,326215,WEST TERRACE,missing,missing
INCHICORE SQUARE WEST,6,4,1,5,13,111,missing,0,326215,WEST TERRACE,missing,missing
INCHICORE TERRACE NORTH,6,4,1,5,13,212,missing,0,326215,WEST TERRACE,missing,missing
INCHICORE TERRACE SOUTH,6,4,3,5,13,426,missing,0,326216,missing,missing,missing
INFIRMARY ROAD,2,1,1,R05,R05,497,R101,0,326302,NORTH CIRCULAR ROAD,PARKGATE STREET,Bóthar na hOchlainne
INGRAM ROAD,6,4,1,7,7,86,missing,0,326319,O'DONAVAN ROAD,GREENVILLE AVENUE,Bóthar Iongram
INNISFALLEN PARADE,6,1,3,4,4,340,missing,0,319720,GLENGARRIFF PARADE,DOREST STREET LOWER,Paráid Inis Faichleann
INISHMAAN ROAD,6,2,2,8,8,271,missing,0,313221,IVERAGH ROAD,missing,Bóthar Inis Meán
INNS QUAY,1,1,1,R01,R01,263,N004,0,326309,CHURCH STREET,CHARLES STREET WEST,Cé na gCúirt
INVER ROAD,6,1,1,11,19,306,missing,0,319712,DRUMCLIFF ROAD,FAUSSAGH ROAD,Bóthar Inbhir
INVERMORE GROVE,6,3,2,4,4,52,missing,0,313313,CARRAROE AVENUE,missing,Garrán Inbhear Mór
INVERNESS ROAD,6,3,3,15,17,149,missing,0,319812,MELROSE AVENUE,LOMOND AVENUE,Bóthar Inbhear Nois
IONA CRESCENT,5,1,3,13,21,271,missing,0,319715,HOLLYBANK ROAD,missing,Corrán í
IONA DRIVE,6,1,3,13,21,161,missing,0,319715,IONA ROAD,IONA CRESCENT,Céide í
IONA PARK,6,1,3,13,21,226,missing,0,319715,IONA CRESCENT,LINDSAY ROAD,Páirc í
IONA ROAD,3,1,1,13,21,586,missing,0,319714,SAINT COLUMBUS ROAD UPPER,BOTANIC ROAD,Bóthar í
IONA VILLAS,6,1,2,13,21,501,missing,0,319710,IONA CRESCENT,missing,missing
IRISHTOWN LANE,7,5,2,17,30,50,missing,0,326413,IRISHTOWN ROAD,ROSARY TERRACE,missing
IRISHTOWN ROAD,2,5,1,17,30,350,R802,0,326413,THOMAS STREET EAST,LONDON BRIDGE ROAD,Bóthar an Baile Ghaedhlaigh
IRVINE COTTAGES,6,1,2,16,16,57,missing,0,326403,IRVINE TERRACE,missing,Iostáin Uí Eireamhóin
IRVINE TERRACE,6,1,3,16,16,170,missing,0,326402,ABERCORN ROAD,CHURCH STREET EAST,Ardán Uí Eireamhóin
IRWIN COURT,6,4,2,1,1,0,missing,0,326302,IRWIN STREET,missing,missing
IRWIN STREET,4,4,3,1,1,91,missing,0,,MILITARY ROAD,BOW BRIDGE,Sráid Uí Eireamhóin
ISLAND STREET,5,4,3,4,4,376,missing,0,326308,BRIDGEFOOT STREET,WALTING STREET,Sráid Inse
ISLAND VILLA,6,5,2,20,12,46,missing,0,326412,HOGAN AVENUE,RAILWAY TERRACE,Bailtín Inse
ISOLDA ROAD,6,5,1,18,31,57,missing,0,326414,PINE ROAD,missing,Bóthar íosoilde
IVAR STREET,6,1,3,1,1,157,missing,0,326303,HAROLD ROAD,MANOR PLACE,Sráid íomhar
IVEAGH GARDENS,6,4,2,8,16,72,missing,0,326321,CRUMLIN ROAD,missing,Gairdíní Uibh Eathach
IVEAGH GARDENS,6,4,2,8,16,511,missing,0,326321,CRUMLIN ROAD,missing,Gairdíní Uibh Eathach
IVELEARY ROAD,6,2,2,8,8,140,missing,0,313221,INNISMAAN ROAD,IVERAGH ROAD,Bóthar Uíbh Laoghaire
IVERAGH ROAD,6,2,2,8,8,829,missing,0,313221,SWORDS ROAD,IVELEARY,Bóthar Uíbh Ráthach
IVERAGH ROAD,6,2,1,8,8,217,missing,0,313221,SWORDS ROAD,IVELEARY,Bóthar Uíbh Ráthach
IVY TERRACE,7,4,1,6,6,36,missing,0,326313,CORK STREET,missing,Ardán an Eidhneáin
"JAMES'S STREET
JAMES'S STREET",4,5,1,22,14,188,missing,0,326313,MOUNT BROWN,WATLING STREET,missing
JAMES LARKIN ROAD,2,3,2,R03,R03,2340,R807,0,313324,MOUNT PROSPECT AVENUE,HOWTH ROAD,missing
JAMES'S PLACE EAST,6,5,3,22,14,157,missing,0,326412,JAMES STREET EAST,missing,missing
JAMES STREET EAST,2,5,1,R02,R02,849,R810,0,326412,MOUNT STREET UPPER,BAGGOT STREET LOWER,missing
JAMES STREET NORTH,6,1,3,16,16,65,missing,0,319817,SPENCER STREET,STONEY ROAD,missing
JAMESTOWN AVENUE,6,4,2,5,13,396,missing,0,326220,JAMESTOWN ROAD,RING TERRACE,missing
JAMESTOWN COURT,6,4,2,5,13,0,missing,0,326220,JAMESTOWN ROAD,missing,missing
JAMESTOWN INDUSTRIAL CENTRE,4,4,1,5,13,130,missing,0,326220,JAMESTOWN ROAD (INCHIORE),missing,missing
JAMESTOWN ROAD,4,2,1,5,5,2187,missing,0,313103,CHURCH STREET,CITY BOUNDRY,missing
JAMESTOWN ROAD,4,4,1,5,13,474,missing,0,326220,TYRCONNELL ROAD,missing,missing
JANEVILLE,6,5,2,11,3,111,missing,0,326319,SAINT KEVINS PARADE,missing,Baile Sinéad
JEROME CONNOR PLACE,7,1,2,1,1,80,missing,0,326302,INFIRMARY ROAD,missing,missing
JERVIS LANE LOWER,6,1,3,12,12,267,missing,0,326305,MARY STREET,ABBEY STREET UPPER,Lána Jervis íocht
JERVIS STREET,3,1,1,12,12,372,missing,0,326305,STRAND STREET,PARNELL STREET,Sráid Jervis
JOHN DILLON STREET,4,4,1,6,6,428,missing,0,326309,HANOVER LANE,BACK LANE,Sráid Seán Diolúin
JOHN FIELD ROAD,6,5,1,10,2,123,missing,0,326315,BRIDE STREET,missing,missing
JOHN MC CORMACK BRIDGE,2,3,1,R03,R03,25,R834,0,319818,EAST WALL ROAD,ALFIE BYRNE ROAD,missing
JOHN MCCORMACK AVENUE,6,4,2,10,18,418,missing,0,332710,BALFE AVENUE,missing,Ascaill Sheáin Mhic Chormaic
SAINT JOHN'S STREET,6,4,2,7,7,78,missing,0,326319,GREENVILLE PARADE,SAINT MICHAELS TERRACE,missing
JOHN STREET NORTH,3,1,1,1,1,51,missing,0,326309,BENBURB STREET,ELLIS QUAY,missing
JOHN STREET WEST,6,4,3,5,5,123,missing,0,326309,MULLINAHACK,THOMAS STREET,missing
JOHN'S LANE WEST,6,4,4,4,4,143,missing,0,326309,SAINT AUGUSTINE STREET,THOMAS STREET,"Lána Eoin Baisce,Thiar"
JOHN STREET SOUTH,6,4,3,6,6,102,missing,0,326314,SUMMER STREET SOUTH,PIMLICO,missing
JOHNS LANE EAST,7,5,4,9,1,82,missing,0,326310,FISHAMBLE STREET,WINETAVERN STREET,missing
JOHNSON'S COURT,7,5,2,13,5,77,missing,0,326315,CLAREDON STREET,GRAFTON STREET,Cúirt Mhic Eoin
JOHNSON'S PLACE,6,5,2,13,5,53,missing,0,,SOUTH KING STREET,WILLIAM STREET SOUTH,missing
JOHNSTOWN PARK,6,2,2,6,6,123,missing,0,313124,BALLYGALL ROAD EAST,missing,Páirc Baile Shéain
JONES'S ROAD,4,1,1,8,8,194,missing,0,319816,CLONCLIFFE ROAD,RUSSELL STREET,missing
JONES'S ROAD,3,1,1,8,8,101,missing,0,319816,CLONCLIFFE ROAD,RUSSELL STREET,missing
JOSEPHINE AVENUE,6,1,3,5,5,46,missing,0,319720,LEO STREET,missing,Ascaill Iosaifín
JOY STREET,6,5,2,16,29,100,missing,0,326413,SOUTH DOCK STREET,GORDON STREET,Sráid Seóighe
JOYCE ROAD,6,1,2,14,22,214,missing,0,319710,FERGUSON ROAD,WALSH ROAD,Bóthar Seós
KANES COURT,7,1,2,12,12,32,missing,0,326305,SAMPSONS LANE,missing,missing
KEARN'S PLACE,6,4,3,1,1,93,missing,0,326312,RAVENSTOWN LANE,OLD KILMAINHAIM,missing
KEEGANS COTTAGES,7,5,2,17,30,49,missing,0,332910,MERRION ROAD,missing,missing
KEEPER ROAD,6,4,2,8,16,96,missing,0,326317,SLIEVENNAMON ROAD,HERBERTON ROAD,Bóthar Coimealta
KEEPER ROAD,3,4,1,8,16,541,missing,0,326317,SLIEVENNAMON ROAD,HERBERTON ROAD,Bóthar Coimealta
KELLS ROAD,6,4,2,10,18,327,missing,0,332802,LEIGHLIN ROAD,missing,Bóthart Creanannas
KELLY'S LANE,6,1,4,5,5,76,missing,0,319724,PHIBSBOROUGH ROAD,ROYAL CANAL BANK,missing
KELLYS ROW,7,1,3,10,10,103,missing,0,319725,NERNEYS COURT,DOREST STREET LOWER,missing
KELLYS ROW,7,1,2,10,10,101,missing,0,319725,NERNEYS COURT,DOREST STREET LOWER,missing
KEMPTON AVENUE,5,1,1,9,17,334,missing,1991,319610,NAVAN ROAD,KEMPTON PARK,missing
KEMPTON COURT,6,1,1,9,17,48,missing,1992,319610,KEMPTON WAY,missing,missing
KEMPTON GREEN,6,1,1,9,17,360,missing,1992,319610,KEMPTON AVENUE,CUL DE SAC,missing
KEMPTON GROVE,6,1,1,9,17,112,missing,1992,319610,KEMPTON AVENUE,missing,missing
KEMPTON HEATH,6,1,1,9,17,178,missing,1994,319610,KEMPTON WAY,missing,missing
KEMPTON LAWN,6,1,1,9,17,75,missing,1992,319610,KEMPTON WAY,missing,missing
KEMPTON PARK,6,1,1,9,17,127,missing,1992,319610,KEMPTON AVENUE,missing,missing
KEMPTON RISE,6,1,1,9,17,110,missing,1992,319610,KEMPTON WAY,KEMPTON VIEW,missing
KEMPTON VIEW,6,1,1,9,17,125,missing,1992,319610,KEMPTON WAY,missing,missing
KEMPTON WAY,6,1,1,9,17,211,missing,1992,319610,KEMPTON AVENUE,KEMPTON LAWN,missing
KENILWORTH LANE,7,5,2,4,17,520,missing,0,332809,KENILWORTH ROAD,HAROLD'S CROSS ROAD,Lána Cineilm
KENILWORTH PARK,3,4,2,12,20,154,missing,0,332804,LOWER KIMMAGE ROAD,HAROLD'S CROSS ROAD,Páirc Chineilm
KENILWORTH PARK,4,4,1,12,20,327,missing,0,332804,LOWER KIMMAGE ROAD,HAROLD'S CROSS ROAD,Páirc Chineilm
KENILWORTH ROAD,3,5,2,4,17,202,missing,0,332809,GROSVENOR PLACE,KENILWORTH SQUARE EAST,Bóthar Chineilm
KENILWORTH SQUARE EAST,3,5,3,4,17,234,missing,0,332809,KENILWORTH ROAD,KENILWORTH SQUARE SOUTH,missing
KENILWORTH SQUARE NORTH,3,5,2,4,17,322,missing,0,332809,HAROLD'S CROSS ROAD,KENILWORTH SQUARE EAST,missing
KENILWORTH SQUARE SOUTH,3,5,3,4,17,246,missing,0,332809,RATHGAR AVENUE,KENILWORTH SQUARE EAST,missing
KENILWORTH SQUARE WEST,6,5,3,4,17,223,missing,0,332809,KENILWORTH SQUARE NORTH,KENILWORTH SQUARE SOUTH,missing
KENMARE PARADE,6,1,1,4,4,70,missing,0,319720,DERRYNANE PARADE,KILARNEY PARADE,Paráid Ceannmara
KERLOGUE ROAD,6,5,1,18,31,0,missing,0,326414,STRAND ROAD (RINGSEND),missing,missing
KEVIN STREET LOWER,2,5,1,R04,R02,212,R110,0,326315,BRIDE STREET,WEXFORD STREET,missing
KEVIN STREET UPPER,2,5,1,R04,R02,220,R110,0,326315,PATRICK STREET,BRIDE STREET,missing
KICKHAM ROAD,6,4,2,7,15,482,missing,0,326311,BULFIN ROAD,O'LEARY ROAD,Bóthar Ciceam
KILBARRACK AVENUE,6,3,2,12,12,299,missing,0,313320,KILBARRACK ROAD,GREENDALE AVENUE,Ascaill Chill Barroc
KILBARRACK GARDENS,6,3,2,12,12,152,missing,0,313319,KILBARRACK AVENUE,missing,Gairdíní Chill Barroc
KILBARRACK GROVE,6,3,2,12,12,145,missing,0,313319,KILBARRACK AVENUE,missing,Garrán Chill Barroc
KILBARRACK ROAD,2,3,1,R04,R04,1936,R104,0,313314,RAHENY ROAD,HOWTH ROAD,Bóthar Chill Barroc
KILBARRON AVENUE,6,3,2,7,7,337,missing,0,313208,KILBARRON ROAD,CROMCASTLE ROAD,Ascaill Chill Bharúin
KILBARRON DRIVE,6,3,2,7,7,316,missing,0,313208,KILBARRON ROAD,CROMCASTLE ROAD,Céide Chill Bharúin
KILBARRON PARK,6,3,2,7,7,347,missing,0,313209,CROMCASTLE ROAD,KILBARRON ROAD,Páirc Chill Bharúin
KILBARRON ROAD,6,3,2,7,7,128,missing,0,313213,DUNDANIEL ROAD,KILMORE ROAD,Bóthar Chill Bharúin
KILBARRON ROAD,3,3,2,7,7,780,missing,0,319810,DUNDANIEL ROAD,KILMORE ROAD,Bóthar Chill Bharúin
KILBRIDE ROAD,6,3,1,14,14,159,missing,0,319810,KILLESTER AVENUE,CLANAWLEY ROAD,Bóthar Cill Bríd
KILDARE PARK,6,4,1,10,18,320,missing,0,332801,KILDARE ROAD,missing,Páirc Cilldara
KILDARE PLACE,7,5,2,17,9,44,missing,0,326411,KILDARE STREET,missing,Plás Cilldara
KILDARE ROAD,6,4,2,10,18,170,missing,0,332801,CRUMLIN ROAD,SUNDRIVE ROAD,Bóthar Chill Dara
KILDARE ROAD,4,4,1,10,18,1048,missing,0,332801,CRUMLIN ROAD,SUNDRIVE ROAD,Bóthar Chill Dara
KILDARE ROAD,3,4,1,10,18,380,missing,0,332801,CRUMLIN ROAD,SUNDRIVE ROAD,Bóthar Chill Dara
KILDARE STREET,1,5,1,17,9,385,N011,0,326411,NASSAU STREET,ST. STEPHEN'S GREEN NORTH,Sráid Cilldara
KILDONAN AVENUE,6,2,2,1,1,346,missing,0,313111,KILDONAN ROAD,CASEMENT ROAD,Ascaill Chill Domhnáin
KILDONAN DRIVE,6,2,2,1,1,258,missing,0,313116,FINGLASWOOD ROAD,KILDONAN ROAD,Céide Chill Domhnáin
KILDONAN ROAD,6,2,2,1,1,310,missing,0,313111,MELLOWEES ROAD,CAPPAGH AVENUE,Bóthar Chill Domhnáin
KILDONAN ROAD,3,2,1,1,1,366,missing,0,313111,MELLOWEES ROAD,CAPPAGH AVENUE,Bóthar Chill Domhnáin
KILFENORA DRIVE,6,3,2,4,4,290,missing,0,313308,ARDARA AVENUE,STREAMVILLE ROAD,Céide Cillfionnabhrach
KILFENORA ROAD,6,4,2,10,18,330,missing,0,332807,STANAWAY ROAD,BANGOR ROAD,Bóthar Cillfionnabhrach
KILKIERAN ROAD,7,1,1,11,19,728,missing,0,319712,BANNON ROAD,BROOMBRIDGE ROAD,missing
KILKIERAN COURT,6,1,2,11,19,133,missing,0,319712,KILKIERNAN ROAD,missing,missing
KILLALA ROAD,6,1,2,11,19,756,missing,0,319707,DRUMCLIFFE ROAD,CARNLOUGH ROAD,Bóthar Cill Alaidh
KILLALA ROAD,6,1,2,11,19,224,missing,0,319707,DRUMCLIFFE ROAD,CARNLOUGH ROAD,Bóthar Cill Alaidh
KILLAN ROAD,6,1,2,16,16,133,missing,0,319823,CHURCH ROAD,SAINT MARY'S ROAD NORTH,Bóthar Cill áine
KILLARNEY AVENUE,6,1,3,14,14,59,missing,0,319821,KILLARNEY STREET,missing,Ascaill Chill áirne
KILLARNEY PARADE,6,1,1,4,4,123,missing,0,319720,NORTH CIRCULAR ROAD,INISFALLEN PARADE,Paráid Cill áirne
KILLARNEY STREET,5,1,2,14,14,184,missing,0,319821,BUCKINGHAM STREET LOWER,PORTLAND ROW,Sráid Chill áirne
KILLARY GROVE,6,3,2,4,4,159,missing,0,313308,ARDARA AVENUE,missing,Garrán an Chaoláire Rua
KILLEEN ROAD,6,5,3,8,21,195,missing,0,332906,DUNVILLE AVENUE,missing,Bóthar Uí Chillín
KILLEEN ROAD,4,4,3,2,10,675,missing,0,326218,LE FANU ROAD,CO. BDY.,Bóthar Uí Chillín
KILLESTER AVENUE,5,3,2,14,14,407,missing,0,319804,MALAHIDE ROAD,COLLINS AVENUE EAST,Ascaill Chill Easra
KILLESTER AVENUE,5,3,2,14,14,319,missing,0,319804,MALAHIDE ROAD,COLLINS AVENUE EAST,Ascaill Chill Easra
KILLESTER AVENUE,5,3,1,14,14,503,missing,0,319804,MALAHIDE ROAD,COLLINS AVENUE EAST,Ascaill Chill Easra
KILLESTER COURT,7,3,1,14,14,113,missing,1995,319805,KILLESTER AVENUE,missing,Cúirt Chill Easra
KILLESTER PARK,6,3,2,14,14,775,missing,0,319805,KILLESTER AVENUE,missing,Páirc Chill Easra
KILMAINHAM LANE,4,4,3,1,1,664,missing,0,326312,BOW BRIDGE,SOUTH CIRCULAR ROAD,Lána Chill Mhaighneán
KILMORE AVENUE,6,3,2,9,9,424,missing,0,313214,KILMORE ROAD,COOLOCK AVENUE,Ascaill Chill Mhór
KILMORE CLOSE,6,3,2,9,9,315,missing,0,313214,KILMORE DRIVE,COOLOCK AVENUE,Corrán Chill Mhór
KILMORE CRESCENT,6,3,2,9,9,207,missing,0,313214,KILMORE AVENUE,missing,Corrán Chill Mhór
KILMORE DRIVE,6,3,3,9,9,147,missing,0,313214,KILMORE AVENUE,missing,Céide Chill Mhór
KILMORE DRIVE,6,3,2,9,9,433,missing,0,313214,KILMORE AVENUE,missing,Céide Chill Mhór
KILMORE ROAD,3,3,1,9,9,418,missing,0,313214,MALAHIDE ROAD,OSCAR TRAYNOR,Bóthar Chill Mhór
KILMORE ROAD,3,3,2,9,9,510,missing,0,313214,MALAHIDE ROAD,OSCAR TRAYNOR,Bóthar Chill Mhór
KILMORE ROAD,4,3,2,9,9,280,missing,0,313214,MALAHIDE ROAD,OSCAR TRAYNOR,Bóthar Chill Mhór
KILMORE ROAD,4,3,1,9,9,721,missing,0,313214,MALAHIDE ROAD,OSCAR TRAYNOR,Bóthar Chill Mhór
KILMORONEY CLOSE,6,3,2,4,4,69,missing,0,313308,ARDARA AVENUE,missing,Clós Chill Mhaolruanaidh
KILNAMANAGH ROAD,6,4,2,9,17,504,missing,0,332709,WALKINSTOWN ROAD,WALKINSTOWN DRIVE,Bóthar Chill na Manach
KILSHANE ROAD,6,2,2,5,5,300,missing,0,313025,RATHOATH ROAD,DEANSTOWN ROAD,Bóthar Cill Sheáin
KILSHANE ROAD,3,2,2,5,5,95,missing,0,313025,RATHOATH ROAD,DEANSTOWN ROAD,Bóthar Cill Sheáin
KILWORTH ROAD,6,4,2,8,16,1062,missing,0,326220,DAVITT ROAD,COOLEY ROAD,Bóthar Chill Uird
KIMMAGE GROVE,6,4,2,12,20,371,missing,0,332808,KIMMAGE ROAD,missing,missing
KIMMAGE ROAD LOWER,2,4,3,R11,R20,878,R817,0,332804,HAROLDS CROSS ROAD,KIMMAGE ROAD WEST,missing
KIMMAGE ROAD LOWER,2,4,1,R11,R20,1000,R817,0,332804,HAROLDS CROSS ROAD,KIMMAGE ROAD WEST,missing
KIMMAGE ROAD WEST,2,4,1,R09,R18,1438,R818,0,332812,FORTFIELD ROAD,SAINT AGNES ROAD,missing
KINAHAN STREET,6,1,3,1,1,103,missing,0,326302,FINDLATER STREET,SULLIVAN STREET,Sráid ó Coinneacháin
KINCORA AVENUE,6,3,2,15,15,747,missing,0,319814,CASTLE AVENUE,KINCORA GROVE,Ascaill Cheann Córa
KINCORA COURT,6,3,1,15,15,521,missing,0,319916,CRAB LAKE,KINCORA ROAD,Cúirt Cheann Córa
KINCORA DRIVE,6,3,2,15,15,410,missing,0,319815,KINCORA GROVE,missing,Céide Cheann Córa
KINCORA GROVE,6,3,2,15,15,736,missing,0,319815,STILES ROAD,KINCORA AVENUE,Garrán Cheann Córa
KINCORA PARK,6,3,2,15,15,179,missing,0,319820,OULTON ROAD,missing,Páirc Cheann Córa
KINCORA ROAD,5,3,1,15,15,1366,missing,0,319815,CASTLE AVENUE,CLONTARF ROAD,Bóthar Cheann Córa
KING STREET NORTH,2,1,2,R09,R09,454,R804,0,326304,BLACKHALL PLACE (BOLTON STREET),missing,missing
KING STREET NORTH,3,1,1,R09,R09,135,missing,0,326304,BLACKHALL PLACE (BOLTON STREET),missing,missing
KINGRAM PLACE,5,5,2,18,10,141,missing,0,326416,FITZWILLIAM PLACE,missing,missing
KINGS AVENUE,6,1,1,13,13,147,missing,0,319817,BALLYBOUGH ROAD,missing,missing
KINGS INNS STREET,4,1,2,11,11,62,missing,0,326304,PARNELL STREET,BOLTON STREET,missing
KINGS INNS STREET,4,1,1,11,11,193,missing,0,326304,PARNELL STREET,BOLTON STREET,missing
KINGSBRIDGE,1,4,1,R01,R01,98,N004,0,326308,VICTORIA QUAY,missing,Droichead an Ríogh
KINGSLAND PARADE,5,5,1,12,4,124,missing,0,326325,PORTOBELLO ROAD,FLORENCE STREET,Paráid Cingslan?Paráid Tír an Ríogh?
KINVARA AVENUE,5,1,2,9,17,330,missing,0,319701,NAVAN ROAD,missing,Ascaill Chinn Mhara
KINVARA DRIVE,6,1,2,9,17,209,missing,0,319610,KINVARA ROAD,PARK ROAD,Céide Chinn Mhara
KINVARA GROVE,6,1,2,9,17,238,missing,0,319610,ASHTOWN GROVE,PARK ROAD,Garrán Chinn Mhara
KINVARA PARK,6,1,2,9,17,522,missing,0,319610,KINVARA AVENUE,missing,Páirc Chinn Mhara
KINVARA ROAD,6,1,2,9,17,471,missing,0,319610,KINVARA PARK,missing,Bóthar Chinn Mhara
KIPPURE PARK,6,2,2,5,5,1060,missing,0,319701,SAINT HELENAS ROAD,missing,Páirc Chipiur
KIRWAN STREET,6,1,3,2,2,278,missing,0,326303,GRANGEGORMAN UPPER,MANOR STREET,Sráid ó Ciardubháin
KIRWAN STREET COTTAGES,6,1,3,2,2,197,missing,0,319723,KIRWAN STREET,missing,Iostáin ó Ciardubháin
KNOCKNAREA AVENUE,6,4,2,8,16,322,missing,0,326322,BENBULBIN ROAD,RAFTUS ROAD,Bóthar Cnoc na Riadh
KNOCKNAREA ROAD,6,4,2,8,16,399,missing,0,326321,MOURNE ROAD,RAFTUS ROAD,Bóthar Cnoc na Riabh
KNOWTH COURT,6,2,3,2,2,244,missing,0,,CARRIG ROAD,missing,missing
KYLEMORE AVENUE,6,4,2,2,10,406,missing,0,326414,PINE ROAD,missing,Ascaill Mórchoille
KYLEMORE DRIVE,6,4,2,2,10,461,missing,0,326213,LE FANU ROAD,KYLEMORE ROAD,Céide Mórchoille
KYLEMORE PARK NORTH,4,4,2,2,10,477,missing,0,326218,KILLEEN ROAD,KYLEMORE ROAD,missing
KYLEMORE PARK SOUTH,4,4,2,2,10,341,missing,0,326218,KYLEMORE ROAD,KYLEMORE PARK WEST,missing
KYLEMORE PARK WEST,4,4,2,2,10,256,missing,0,326218,KYLEMORE PARK NORTH,missing,Páirc an Choill Mhóir Thiar
KYLEMORE ROAD,6,4,2,R05,R14,478,missing,0,326208,LUCAN ROAD,BALLYFERMOT HILL,Bóthar an Choill Mhóir
KYLEMORE ROAD,2,4,1,R05,R14,3222,R112,0,326208,LUCAN ROAD,BALLYFERMOT HILL,Bóthar an Choill Mhóir
KYLEMORE ROAD,6,4,1,R05,R14,238,missing,0,326208,LUCAN ROAD,BALLYFERMOT HILL,missing
LA TOUCHE BRIDGE,2,5,1,R13,R24,16,R114,0,,CHARLEMONT MALL,CHELTENHAM PLACE,missing
