street_name,street_class_code,new_area_code,surface_type_code,Subarea,Subarea EA,line_length,route_no,year_built,os_sheets,road_start,road_finish,Irish
EAST WALL ROAD,2,1,1,R02,R02,1970,R131,0,319817,NORTH STRAND ROAD,NORTH WALL,Bóthar an Phuirt Thoir
EASTMORELAND LANE,6,5,2,15,28,157,missing,0,316417,missing,missing,lána Eastmorland
EASTMORELAND PLACE,5,5,3,15,28,55,missing,0,326417,PEMBROKE ROAD,missing,Plás Eastmorland
EASTMORELAND PLACE,6,5,3,15,28,79,missing,0,326417,PEMBROKE ROAD,missing,Plás Eastmorland
EATON ROAD,4,4,3,12,20,168,missing,0,332813,TERENURE ROAD NORTH,TERENURE PARK,Bóthar Eaton
EATON SQUARE,6,4,3,12,20,373,missing,0,332813,EATON ROAD,TERENURE PARK,Cearnóg Eaton
EBENEZER TERRACE,6,4,3,7,7,144,missing,0,326319,DONORE AVENUE,COW PARLOUR,missing
EBLANA VILLAS,6,5,2,20,12,81,missing,0,326412,HOGAN PLACE,HOGAN AVENUE,Bailtíní Eblana
ECCLES COURT,6,1,1,5,5,25,missing,0,319720,DORSET STREET LOWER,ECCLES PLACE,Cúirt Eccles
ECCLES PLACE,6,1,3,5,5,101,missing,0,319720,ECCLES STREET,DORSET STREET LOWER,Plás Eccles
ECCLES STREET,4,1,1,5,5,429,missing,0,319720,BERKELEY ROAD,DORSET STREET UPPER,Sráid Eccles
ECHLIN STREET,4,4,1,2,2,102,missing,0,326308,JAMES STREET,GRAND CANAL PLACE,Sráid Aislinne
EDEN QUAY,2,1,1,R01,R01,279,R105,0,326401,BUTT BRIDGE,O'CONNELL STREET,Cé éidin
EDEN TERRACE,6,1,2,13,21,0,missing,0,319715,BOTANIC AVENUE,missing,missing
EDENMORE AVENUE,6,3,2,11,11,1019,missing,0,313316,EDENMORE ROAD,EDENMORE PARK,Ascaill Eadán Mór
EDENMORE CRESCENT,6,3,2,11,11,1019,missing,0,313317,EDENMORE ROAD,EDENMORE AVENUE,Corrán Eadán Mór
EDENMORE DRIVE,6,3,2,11,11,264,missing,0,313316,EDENMORE PARK,EDENMORE GREEN,Céide Eadán Mór
EDENMORE GARDENS,6,3,2,11,11,264,missing,0,313316,EDENMORE GREEN,EDENMORE PARK,Gairdíní Eadán Mór
EDENMORE GREEN,6,3,2,11,11,345,missing,0,313317,EDENMORE CRESCENT,EDENMORE CRESCENT,Faiche Eadán Mór
EDENMORE GREEN,3,3,2,11,11,221,missing,0,313317,EDENMORE CRESCENT,EDENMORE CRESCENT,Faiche Eadán Mór
EDENMORE GROVE,3,3,2,11,11,283,missing,0,313316,EDENMORE PARK,EDENMORE GREEN,Garrán Eadán Mór
EDENMORE GROVE,6,3,2,11,11,73,missing,0,313316,EDENMORE PARK,EDENMORE GREEN,Garrán Eadán Mór
EDENMORE PARK,6,3,2,10,10,295,missing,0,313316,EDENMORE AVENUE,EDENMORE ROAD,Páirc Eadán Mór
EDENMORE PARK,4,3,2,10,10,256,missing,0,313316,EDENMORE AVENUE,EDENMORE ROAD,Páirc Eadán Mór
EDENVALE ROAD,3,5,3,8,21,322,missing,0,332901,BEECHWOOD ROAD,ALBANY ROAD,Bóthar Edenvale
EFFRA ROAD,5,5,1,4,17,217,missing,0,332804,GROSVENOR PLACE,LEINSTER ROAD WEST,Bóthar Eafra
EGLINTON PARK,6,5,2,11,24,193,missing,0,332907,EGLINTON ROAD,missing,Páirc Eglinton
EGLINTON PARK,6,5,2,11,24,0,missing,0,332907,EGLINTON ROAD,missing,Páirc Eglinton
EGLINTON ROAD,2,5,1,11,24,641,R824,0,332907,DONNYBROOK ROAD,SANDFORD ROAD,Bóthar Eglinton
EGLINTON SQUARE,6,5,3,11,24,0,missing,0,332908,EGLINTON ROAD,missing,missing
EGLINTON TERRACE,6,5,1,13,26,110,missing,0,332903,DONNYBROOK ROAD,LONGS LANE,Ardán Eglinton
EGLINTON TERRACE,6,5,1,13,26,142,missing,0,332903,DONNYBROOK ROAD,LONGS LANE,Ardán Eglinton
EKLAD CLOSE,4,3,2,3,3,130,missing,0,313306,COOLOCK INDUSTRIAL ESTATE,missing,missing
EKLAD PARK,4,3,2,3,3,185,missing,0,313306,COOLOCK INDUSTRIAL ESTATE,missing,missing
ELGIN ROAD,5,5,3,13,26,540,missing,0,326422,WELLINGTON ROAD,PEMBROKE ROAD,Bóthar Elgin
ELIZABETH STREET,6,1,3,15,8,175,missing,0,319816,MABEL STREET,SAINT GEORGES AVENUE,Sráid éilís
ELLENFIELD ROAD,6,3,1,6,6,318,missing,0,313717,SHANTALLA ROAD,missing,Bóthar Achadh Eibhlín
ELLESMERE AVENUE,6,1,3,10,18,338,missing,0,319718,NORTH CIRCULAR ROAD,missing,Aacaill Ellismír
ELLIS QUAY,1,1,1,R01,R01,264,N004,0,326309,ELLIS STREET,LIFFEY STREET,Cé Ellis
ELLIS STREET,4,1,1,1,1,57,missing,0,326308,SARSFIELD QUAY,BENBURB STREET,Sráid Ellis
ELM MOUNT AVENUE,6,3,2,8,8,1331,missing,0,313223,ELM MOUNT PARK,missing,Ascaill Ard an Leamháin
ELM MOUNT CLOSE,6,3,2,8,8,258,missing,0,313223,ELM MOUNT ROAD,missing,Clós Ard an Leamháin
ELM MOUNT COURT,6,3,2,8,8,260,missing,0,319804,ELM MOUNT RISE,missing,Cúirt Ard an Leamháin
ELM MOUNT CRESCENT,6,3,2,8,8,214,missing,0,313223,ELM MOUNT RISE,missing,Clós Ard an Leamháin
ELM MOUNT DRIVE,6,3,2,8,8,124,missing,0,313223,ELM MOUNT ROAD,missing,Céide Ard an Leamháin
ELM MOUNT GROVE,6,3,2,8,8,92,missing,0,313224,ELM MOUNT VIEW,missing,Garrán Ard an Leamháin
ELM MOUNT HEIGHTS,6,3,2,8,8,132,missing,0,313223,ELM MOUNT LAWN,missing,árda an Leamháin
ELM MOUNT LAWN,6,3,2,8,8,123,missing,0,313223,ELM MOUNT ROAD,missing,Plásóg árd an Leamhain
ELM MOUNT PARK,6,3,2,8,8,477,missing,0,313218,ELM MOUNT AVENUE,missing,Páirc árd an Leamháin
ELM MOUNT RISE,6,3,2,8,8,363,missing,0,313223,ELM MOUNT ROAD,missing,árd an Leamhán
ELM MOUNT ROAD,6,3,2,8,8,516,missing,0,313223,ELM MOUNT DRIVE,missing,Bóthar árd an Leamháin
ELM MOUNT VIEW,6,3,2,8,8,124,missing,0,313223,ELM MOUNT RISE,missing,Adharc Ard Leamháin
ELMPARK AVENUE,6,5,3,8,21,102,missing,0,332901,RANELAGH,missing,Ascaill Pháirc na Leamháin
ELM PARK,6,5,2,14,27,97,missing,0,332909,NUTLEY LANE,missing,missing
ELM PARK TERRACE,6,4,2,12,20,164,missing,0,332814,TERENURE ROAD NORTH,missing,Ardán Pháirc na Leamháin
ELM ROAD,6,3,2,13,13,382,missing,0,319803,MALAHIDE ROAD,missing,Bóthar an Leamháin
ELMDALE CRESCENT,6,4,3,2,10,234,missing,0,326211,ELMDALE DRIVE,missing,missing
ELMDALE DRIVE,6,4,3,2,10,163,missing,0,326211,BLACKDITCH ROAD,missing,missing
ELMDALE PARK,6,4,3,2,10,202,missing,0,326211,CHERRY ORCHARD GREEN,missing,missing
ELMFIELD AVENUE,5,3,1,5,5,610,missing,1996,313303,TEMPLE VIEW AVENUE,missing,missing
ELMFIELD CLOSE,6,3,1,5,5,40,missing,0,313308,ELMFIELD AVENUE,missing,missing
ELMFIELD COURT,6,3,1,5,5,27,missing,1996,313308,ELMFIELD AVENUE,missing,Cúirt Ghort an Leamháin
